日照計,溫度計
0,23.338
0,23.3
0,23.338
0,23.4
0,23.375
0,23.25
0,23.188
0.833,23.054
9.75,23.175
22.5,23.5
52.958,23.775
62.5,24.575
154.25,25.838
137.125,27.05
173.25,27.658
213.833,28.575
131.375,28.675
200.667,29.054
300.125,32.692
440,37.167
483.417,40.287
511.375,42.375
477,41.775
586.458,43.813
675.5,46.263
700.875,48.425
577.875,48.438
504.375,43.45
751.958,47.15
810.125,51.488
688.458,48.758
644.5,49.8
475.25,42.342
842.583,48.575
944.75,54.225
875.333,55.067
825.75,53.512
927.625,56.058
813.542,55.95
975.875,56.438
998.792,58.029
953.25,57.587
1012.583,58.063
904,54.488
966.375,54.846
1093.167,56.113
1109.5,57.363
819.875,54.15
754.875,50.175
484.75,44.6
549.833,43.204
653.625,44.037
703.25,46.996
778.083,47.488
664.125,46.888
983.417,51.883
915.875,53.5
790.875,52.333
859.625,51.9
801.5,53.675
741,52.888
856.125,54.463
734.625,52.625
765.25,52.138
728.5,49.588
451.375,44.775
618.833,42.65
659.375,47.063
604.042,44.892
530.25,44.675
474,40.825
487.708,41.463
399,39.825
407.583,38.904
368.625,38.263
324.125,37.583
290.208,36.013
252,34.038
211.125,33.175
178.375,32.2
126.167,31.788
54.375,30.112
37.125,29.133
31.083,28.188
24.5,27.488
14.625,27.013
7.75,26.563
0.625,26.213
0,25.963
0,25.588
0,25.4
0,25.237
0,25
0,24.817
0,24.7
0,24.775
0,24.875
0,24.975
0,25
0,25.1
0,25.2
0,25.175
